--------- beginning of system
06-29 07:49:52.808  1464  1724 I ActivityManager: Start proc 4189:com.microsoft.office.outlook/u0a365 for broadcast {com.microsoft.office.outlook/com.google.firebase.iid.FirebaseInstanceIdReceiver}
06-29 07:49:52.982  1464  1973 D ActivityManager: sync unfroze 30541 com.microsoft.windowsintune.companyportal:omadm_client_process for 7
06-29 07:49:53.056  1464  2134 D BackgroundInstallControlService: Package event received: 0
06-29 07:49:53.056  1464  1973 D CompatChangeReporter: Compat change id reported: 261072174; UID 10365; state: ENABLED
06-29 07:49:53.130  1464  4000 D CompatChangeReporter: Compat change id reported: 161145287; UID 10365; state: ENABLED
06-29 07:49:53.133  1464  2134 D BackgroundInstallControlService: Package event received: 0
06-29 07:49:53.250  1464  1722 W UserManagerService: onShortcutChanged for another profile 0 from 10
06-29 07:49:53.271  1464  1973 D CompatChangeReporter: Compat change id reported: 154726397; UID 10365; state: ENABLED
06-29 07:49:53.290  1464  1973 D ActivityManager: sync unfroze 2382 com.azure.authenticator:auth for 7
06-29 07:49:53.290  1464  2134 D BackgroundInstallControlService: Package event received: 0
06-29 07:49:53.291  1464  1973 D ActivityManager: sync unfroze 3168 com.google.android.gms for 7
06-29 07:49:53.297  1464  1973 D ActivityManager: sync unfroze 9771 com.android.vending for 7
06-29 07:49:53.302  1464  1973 D ActivityManager: sync unfroze 30765 com.google.android.gms.unstable for 7
06-29 07:49:53.302  1464  1973 D ActivityManager: sync unfroze 4728 com.google.android.webview:sandboxed_process0:org.chromium.content.app.SandboxedProcessService0:0 for 7
06-29 07:49:53.306  1464  1723 D CompatChangeReporter: Compat change id reported: 151861875; UID 10483; state: ENABLED
06-29 07:49:53.321  1464  1724 I ActivityManager: Start proc 4415:com.microsoft.windowsintune.companyportal/u0a483 for broadcast {com.microsoft.windowsintune.companyportal/com.microsoft.windowsintune.companyportal.logging.TelemetryNoticeReceiver}
06-29 07:49:53.336  1464  1973 D ActivityManager: sync unfroze 30823 com.microsoft.windowsintune.companyportal.omadm_client_process for 7
06-29 07:49:53.343  1464  1972 D CompatChangeReporter: Compat change id reported: 253665015; UID 10365; state: ENABLED
06-29 07:49:53.346  1464  1973 D CompatChangeReporter: Compat change id reported: 271850009; UID 10365; state: ENABLED
06-29 07:49:53.348  1464  2134 D BackgroundInstallControlService: Package event received: 0
06-29 07:49:53.369  1464  1973 W ProcessStats: Tracking association SourceState{4a5c7e1 com.google.android.gms/10163 Receivr #2837068} whose proc state 10 is better than process ProcessState{122f195 com.google.android.webview:sandboxed_process0:org.chromium.content.app.SandboxedProcessService0:0/10163 pkg=com.google.android.gms} proc state 15 (3 skipped)
06-29 07:49:53.463  1464  2134 D BackgroundInstallControlService: Package event received: 0
06-29 07:49:53.576  1464  5011 D CompatChangeReporter: Compat change id reported: 319212206; UID 10483; state: ENABLED
06-29 07:49:53.685  1464  2134 D BackgroundInstallControlService: Package event received: 0
06-29 07:49:53.702  1464  2134 D BackgroundInstallControlService: Package event received: 0
06-29 07:49:56.289  1464  1733 I ActivityManager: Process PhantomProcessRecord {6813b4f 4383:30541:zygote_reactjs/u0a483} died
06-29 07:49:56.321  1464  1733 I ActivityManager: Process PhantomProcessRecord {33282dc 4379:30541:zygote_reactjs/u0a483} died
06-29 07:49:56.355  1464  1733 I ActivityManager: Process PhantomProcessRecord {288efe5 4381:4189:zygote_reactjs/u0a365} died
06-29 07:49:56.770  1464  2134 D BackgroundInstallControlService: Package event received: 0
06-29 07:49:56.811  1464  2134 D BackgroundInstallControlService: Package event received: 0
06-29 07:49:58.139  1464  1994 D ActivityManager: sync unfroze 25541 com.netflix.mediaclient for 6
06-29 07:49:55.428  1464  1994 W JobServiceContext: Sending onNetworkChanged for a job that isn't started. JobStatus{74e85e0 #u0a294/3 com.netflix.mediaclient/.service.job.NetflixJobService u=0 s=10294 TIME=-18s747ms:+3h59m41s253ms NET PERIODIC READY}
06-29 07:49:55.447  1464  1723 D ActivityManager: sync unfroze 23733 com.whatsapp for 3
06-29 07:49:55.450  1464  1723 D ActivityManager: sync unfroze 6442 com.facebook.orca for 3
06-29 07:49:55.452  1464  1723 D ActivityManager: sync unfroze 6470 com.facebook.orca:pretosproc for 10
06-29 07:49:55.454  1464  1723 D ActivityManager: sync unfroze 23333 com.google.android.apps.youtube.music for 3
06-29 07:49:55.456  1464  1723 D ActivityManager: sync unfroze 7509 com.google.android.webview:sandboxed_process0:org.chromium.content.app.SandboxedProcessService0:0 for 3
06-29 07:49:55.459  1464  1723 D ActivityManager: sync unfroze 7326 com.twitter.android for 3
06-29 07:49:55.460  1464  1723 D ActivityManager: sync unfroze 7831 com.google.android.webview:sandboxed_process0:org.chromium.content.app.SandboxedProcessService0:0 for 3
06-29 07:49:55.461  1464  1723 D ActivityManager: sync unfroze 7644 fr.leboncoin for 3
06-29 07:49:55.484  1464  1994 E JobScheduler.JobStatus: App com.google.android.apps.youtube.music became active but still in NEVER bucket
06-29 07:49:55.484  1464  1994 E JobScheduler.JobStatus: App com.google.android.apps.youtube.music became active but still in NEVER bucket
06-29 07:49:55.485  1464  1994 E JobScheduler.JobStatus: App com.google.android.apps.youtube.music became active but still in NEVER bucket
06-29 07:49:55.485  1464  1994 E JobScheduler.JobStatus: App com.google.android.apps.youtube.music became active but still in NEVER bucket
06-29 07:49:55.485  1464  1994 E JobScheduler.JobStatus: App com.google.android.apps.youtube.music became active but still in NEVER bucket
06-29 07:49:55.758  6470  6470 D ActivityThread: Package [com.luwukmeliana.lexicard] reported as REPLACED, but missing application info. Assuming REMOVED.
06-29 07:49:55.765  6470  6470 D ActivityThread: Package [com.luwukmeliana.lexicard] reported as REPLACED, but missing application info. Assuming REMOVED.
06-29 07:49:55.768  1464  1723 D ActivityManager: sync unfroze 27144 com.google.android.inputmethod.latin for 3
06-29 07:49:55.771  1464  1994 E JobScheduler.JobStatus: App com.google.android.inputmethod.latin became active but still in NEVER bucket
06-29 07:49:55.771  1464  1994 E JobScheduler.JobStatus: App com.google.android.inputmethod.latin became active but still in NEVER bucket
06-29 07:49:55.772  1464  1994 E JobScheduler.JobStatus: App com.google.android.inputmethod.latin became active but still in NEVER bucket
06-29 07:49:55.772  1464  1994 E JobScheduler.JobStatus: App com.google.android.inputmethod.latin became active but still in NEVER bucket
